Threshold 1,Threshold 2,Threshold 3,Threshold 4
-1.2389,-0.3363,0.0748,1.4745
0.0638,0.1417,0.8278,1.7834
-0.9927,-0.2567,0.116,1.1097
-0.2164,-0.1275,0.2169,1.3363
0.2815,0.304,0.7492,1.1715
-0.8955,-0.2828,0.615,1.5903
