Threshold 1,Threshold 2,Threshold 3
-2.1699,-0.3768,1.1896
-0.5967,-0.0106,0.6605
1.1748,2.3392,3.1367
-0.7813,0.5469,1.2516
-1.1559,0.4874,1.2982
-1.4855,0.1088,0.819
-0.8111,1.0627,1.3226
-1.0012,0.5318,0.9112
-0.5652,0.642,0.9236
