Threshold 1,Threshold 2,Threshold 3,Threshold 4
-0.64,0.2327,0.953,2.4005
-1.0831,-0.0035,0.1281,1.1596
-0.7146,0.3148,0.8899,1.6653
-0.8739,-0.1596,0.2414,1.2401
-0.5444,0.0043,0.5455,0.9316
-0.5497,0.0303,0.8685,1.7161
